_id,user_code,name,phone,user_type,verified_status,balance,is_active,created_at,updated_at,__v,location.province,location.district,location.municipality,location.ward_no
USR-6969,USR-6969,Worst Record Merchant,9806969696,BOTH,verified,10,True,2026-04-30T13:03:25.000Z,2026-04-30T13:03:25.000Z,0,Bagmati,Kathmandu,Kathmandu Metropolitan City,13
USR-6666,USR-6666,Bad New Merchant,9806666666,BOTH,verified,5,True,2026-04-25T03:35:46.000Z,2026-04-25T03:35:46.000Z,0,Bagmati,Kathmandu,Kathmandu Metropolitan City,6
USR-00031,USR-00031,Sunil Karki,9800000031,BOTH,verified,33068,True,2026-02-25T02:58:00.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Hetauda,Hetauda Sub-Metropolitan City,8
USR-00094,USR-00094,Rita Adhikari,9800000094,CUSTOMER,verified,46550,True,2026-02-23T12:53:20.000Z,2026-05-30T09:48:29.599Z,0,Bagmati,Nepalgunj,Nepalgunj Sub-Metropolitan City,26
USR-00048,USR-00048,Sushma Rai,9800000048,BOTH,verified,9759,True,2026-02-22T15:41:14.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Butwal,Butwal Sub-Metropolitan City,14
USR-00011,USR-00011,Sarita Lama,9800000011,MERCHANT,verified,55837,True,2026-02-22T10:55:14.000Z,2026-05-30T09:48:29.596Z,0,Bagmati,Kathmandu,Kathmandu Metropolitan City,12
USR-00098,USR-00098,Srijana Lama,9800000098,CUSTOMER,verified,43084,True,2026-02-22T01:59:23.000Z,2026-05-30T09:48:29.599Z,0,Bagmati,Bhaktapur,Madhyapur Thimi,6
USR-00060,USR-00060,Sarita Rai,9800000060,CUSTOMER,verified,20383,True,2026-02-20T13:31:42.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Kathmandu,Kathmandu Metropolitan City,6
USR-00042,USR-00042,Rupa Khadka,9800000042,BOTH,verified,54177,True,2026-02-19T16:06:33.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Kathmandu,Kathmandu Metropolitan City,4
USR-00064,USR-00064,Bikash Maharjan,9800000064,CUSTOMER,verified,41617,True,2026-02-17T10:27:49.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Hetauda,Hetauda Sub-Metropolitan City,29
USR-00061,USR-00061,Sabina Karki,9800000061,CUSTOMER,verified,56953,True,2026-02-06T01:29:09.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Lalitpur,Lalitpur Metropolitan City,4
USR-00088,USR-00088,Deepak Shrestha,9800000088,CUSTOMER,verified,56919,True,2026-02-02T15:57:43.000Z,2026-05-30T09:48:29.599Z,0,Bagmati,Nepalgunj,Nepalgunj Sub-Metropolitan City,23
USR-00074,USR-00074,Roshan Karki,9800000074,CUSTOMER,verified,69037,True,2026-02-02T13:55:30.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Lalitpur,Lalitpur Metropolitan City,20
USR-00087,USR-00087,Sabina Gurung,9800000087,CUSTOMER,verified,73741,True,2026-02-01T02:28:56.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Nepalgunj,Nepalgunj Sub-Metropolitan City,12
USR-00054,USR-00054,Rita Joshi,9800000054,CUSTOMER,verified,19920,True,2026-01-30T08:47:27.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Hetauda,Hetauda Sub-Metropolitan City,32
USR-00037,USR-00037,Umesh Lama,9800000037,BOTH,verified,13161,True,2026-01-29T05:36:12.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Chitwan,Bharatpur Metropolitan City,11
USR-00065,USR-00065,Roshan Thapa,9800000065,CUSTOMER,verified,11580,True,2026-01-28T11:19:26.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Hetauda,Hetauda Sub-Metropolitan City,4
USR-00057,USR-00057,Ramesh Khadka,9800000057,CUSTOMER,verified,24779,True,2026-01-26T11:10:48.000Z,2026-05-30T09:48:29.598Z,0,Bagmati,Hetauda,Hetauda Sub-Metropolitan City,24
USR-00096,USR-00096,Srijana Sharma,9800000096,CUSTOMER,verified,15110,True,2026-01-22T12:56:14.000Z,2026-05-30T09:48:29.599Z,0,Bagmati,Lalitpur,Lalitpur Metropolitan City,25
USR-00012,USR-00012,Krishna Sapkota,9800000012,MERCHANT,verified,37878,True,2026-01-22T08:33:12.000Z,2026-05-30T09:48:29.596Z,0,Bagmati,Pokhara,Pokhara Metropolitan City,25
USR-00026,USR-00026,Nabin Bhandari,9800000026,MERCHANT,verified,74955,True,2026-01-06T15:06:10.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Chitwan,Bharatpur Metropolitan City,14
USR-00092,USR-00092,Deepak Sapkota,9800000092,CUSTOMER,verified,47501,True,2026-01-04T03:07:42.000Z,2026-05-30T09:48:29.599Z,0,Bagmati,Dharan,Dharan Sub-Metropolitan City,1
USR-00030,USR-00030,Pratima Sapkota,9800000030,MERCHANT,verified,26952,True,2026-01-02T07:36:57.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Chitwan,Bharatpur Metropolitan City,21
USR-00038,USR-00038,Srijana Maharjan,9800000038,BOTH,verified,73458,True,2025-12-30T06:46:24.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Chitwan,Bharatpur Metropolitan City,6
USR-00095,USR-00095,Suman K.C.,9800000095,CUSTOMER,verified,44387,True,2025-12-29T07:52:41.000Z,2026-05-30T09:48:29.599Z,0,Bagmati,Dharan,Dharan Sub-Metropolitan City,11
USR-00024,USR-00024,Raj Kumar Lama,9800000024,MERCHANT,verified,11275,True,2025-12-28T07:24:03.000Z,2026-05-30T09:48:29.597Z,0,Bagmati,Nepalgunj,Nepalgunj Sub-Metropolitan City,13
